#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:110 out:112 type:b dur:2 cpbdur:2 q:28.34 aq:23.62 tex:250 mv:603 misc:1155 imb:0 pmb:270 smb:3330 d:s ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:28.15 aq:26.66 tex:3163 mv:5007 misc:1950 imb:11 pmb:553 smb:3036 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:28.05 aq:25.11 tex:4307 mv:6697 misc:2132 imb:27 pmb:617 smb:2956 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:27.36 aq:20.24 tex:104276 mv:24842 misc:2250 imb:517 pmb:2468 smb:615 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:27.66 aq:22.76 tex:10264 mv:11244 misc:3164 imb:19 pmb:1156 smb:2425 d:s ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:27.81 aq:23.89 tex:531 mv:1101 misc:1744 imb:1 pmb:414 smb:3185 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:27.51 aq:23.98 tex:2593 mv:6445 misc:2570 imb:10 pmb:726 smb:2864 d:- ref:0 ;
in:123 out:119 type:P dur:2 cpbdur:2 q:27.58 aq:20.74 tex:121919 mv:26322 misc:2103 imb:870 pmb:2098 smb:632 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:27.45 aq:22.53 tex:19363 mv:18531 misc:3146 imb:110 pmb:1434 smb:2056 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:27.40 aq:23.71 tex:2748 mv:5518 misc:2022 imb:9 pmb:513 smb:3078 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:27.49 aq:22.80 tex:1093 mv:2107 misc:1912 imb:20 pmb:462 smb:3118 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:27.54 aq:25.39 tex:4307 mv:7810 misc:2339 imb:20 pmb:701 smb:2879 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:27.45 aq:20.64 tex:111847 mv:24989 misc:2460 imb:678 pmb:2124 smb:798 d:s ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:27.52 aq:23.93 tex:15112 mv:14780 misc:2764 imb:70 pmb:1180 smb:2350 d:s ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:27.55 aq:24.76 tex:4030 mv:6615 misc:2179 imb:21 pmb:581 smb:2998 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:27.48 aq:24.83 tex:4734 mv:6922 misc:2208 imb:24 pmb:612 smb:2964 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:27.51 aq:20.60 tex:103584 mv:24955 misc:2485 imb:582 pmb:2229 smb:789 d:s ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:27.48 aq:24.19 tex:12613 mv:12250 misc:2873 imb:34 pmb:1037 smb:2529 d:t ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:27.47 aq:24.62 tex:4459 mv:5755 misc:1938 imb:10 pmb:510 smb:3080 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:27.50 aq:24.01 tex:3601 mv:5235 misc:1940 imb:10 pmb:494 smb:3096 d:- ref:0 ;
